Geo Point;Geo Shape;codcen;dlibre;dgenerica_;despecific;regimen;direccion;codpos;municipio_;provincia_;telef;fax;mail
39.476518999073924, -0.3550709999999994;"{""coordinates"": [-0.355071, 39.476518999073924], ""type"": ""Point""}";46011119;CENTRE PRIVAT NUESTRA SEÑORA DEL PILAR;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;NUESTRA SEÑORA DEL PILAR;CONCERTADO;AV. BLASCO IBÁÑEZ, 35;46021;València;València;963694308;963934009;colegio@elpilarvalencia.org
39.46725099907399, -0.3524580000000004;"{""coordinates"": [-0.352458, 39.46725099907399], ""type"": ""Point""}";46011223;CENTRE PRIVAT ENGEBA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;ENGEBA;CONCERTADO;CL. ABEN-AL-ABBAR, 12;46021;València;València;963930132;0;secretaria@colegioengeba.com
39.44674499907413, -0.3396700000000011;"{""coordinates"": [-0.33967, 39.44674499907413], ""type"": ""Point""}";46011697;CENTRE PRIVAT SANTA MAGDALENA SOFÍA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SANTA MAGDALENA SOFÍA;CONCERTADO;CL. CARRERA DEL RIU, 67;46024;València;València;963671581;963164090;esther.sanemeterio@fesofiabarat.es
39.44487799907414, -0.39126399999999917;"{""coordinates"": [-0.391264, 39.44487799907414], ""type"": ""Point""}";46011818;CENTRE PRIVAT SALGUI;CENTRE PRIVAT D'EDUCACIÓ INFANTIL I PRIMÀRIA;SALGUI;CONCERTADO;CL. MÚSICO CABANILLES, 33;46017;València;València;963785073;963785073;direccion@colegiosalgui.es
39.45351799907409, -0.39627800000000096;"{""coordinates"": [-0.396278, 39.45351799907409], ""type"": ""Point""}";46011831;CEIP IVAF-LUIS FORTICH;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;IVAF-LUIS FORTICH;CONCERTADO;CL. JUAN DE GARAY, 23;46017;València;València;963883023;963883008;luis.fortich@dival.es
39.466339999073995, -0.4065129999999991;"{""coordinates"": [-0.406513, 39.466339999073995], ""type"": ""Point""}";46011867;CENTRE PRIVAT SANTA MARÍA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SANTA MARÍA;CONCERTADO;AV. TRES CRUCES, 10;46014;València;València;963792355;963837616;gestion@santamariahcm.es
39.44339799907414, -0.3915520000000016;"{""coordinates"": [-0.391552, 39.44339799907414], ""type"": ""Point""}";46011910;CENTRE PRIVAT SAN MARCELINO;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;SAN MARCELINO;CONCERTADO;CL. DOCTOR ROYO VILANOVA, 3;46017;València;València;963587268;963170140;cosanmar@gmail.com
39.486869999073875, -0.39778199999999964;"{""coordinates"": [-0.397782, 39.486869999073875], ""type"": ""Point""}";46012094;CENTRE PRIVAT ESCUELAS SAN JOSÉ (I. POLIT.);CENTRE PRIVAT D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA;ESCUELAS SAN JOSÉ (I. POLIT.);CONCERTADO;AV. DE LES CORTS VALENCIANES, 1;46015;València;València;963499011;963488835;sanjosejesuitas@escuelassj.com
39.457932999074046, -0.38983200000000073;"{""coordinates"": [-0.389832, 39.457932999074046], ""type"": ""Point""}";46012240;CEIP JESÚS;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;JESÚS;PÚBLICO;CL. FRANCO TORMO, 2;46007;València;València;962566660;962566661;46012240@edu.gva.es
39.45076899907409, -0.3941510000000001;"{""coordinates"": [-0.394151, 39.45076899907409], ""type"": ""Point""}";46012252;CEIP SANTO ÁNGEL DE LA GUARDA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SANTO ÁNGEL DE LA GUARDA;PÚBLICO;AV. GASPAR AGUILAR, 96;46017;València;València;961205525;961205526;46012252@edu.gva.es
39.468276999073986, -0.38480899999999923;"{""coordinates"": [-0.384809, 39.468276999073986], ""type"": ""Point""}";46012306;CEIP LUIS VIVES;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;LUIS VIVES;PÚBLICO;CL. CUENCA, 17;46007;València;València;962566270;962566271;46012306@edu.gva.es
39.47710299907392, -0.3840870000000001;"{""coordinates"": [-0.384087, 39.47710299907392], ""type"": ""Point""}";46012343;CEIP CERVANTES;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CERVANTES;PÚBLICO;CL. GUILLEM DE CASTRO, 153;46008;València;València;961205505;961205506;46012343@edu.gva.es
39.46726499907399, -0.40261799999999975;"{""coordinates"": [-0.402618, 39.46726499907399], ""type"": ""Point""}";46012355;CEIP GASPAR GIL POLO;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;GASPAR GIL POLO;PÚBLICO;CL. MIGUEL PAREDES, 5;46018;València;València;962566030;962566031;46012355@edu.gva.es
39.48561899907388, -0.36828899999999964;"{""coordinates"": [-0.368289, 39.48561899907388], ""type"": ""Point""}";46012471;CEIP SAN FERNANDO;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SAN FERNANDO;PÚBLICO;CL. BELLUS, 5-7;46010;València;València;962566090;962566091;46012471@edu.gva.es
39.46701899907401, -0.32732600000000156;"{""coordinates"": [-0.327326, 39.46701899907401], ""type"": ""Point""}";46012604;CEIP LES ARENES;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;LES ARENES;PÚBLICO;CL. CASAS DE LANUZA, 2-4;46011;València;València;962566040;962566041;46012604@edu.gva.es
39.458689999074046, -0.3355200000000008;"{""coordinates"": [-0.33552, 39.458689999074046], ""type"": ""Point""}";46012628;CEIP SAN JOSÉ DE CALASANZ;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;SAN JOSÉ DE CALASANZ;PÚBLICO;CL. BELLO, 22;46024;València;València;962566340;962566341;46012628@edu.gva.es
39.46227399907403, -0.36980100000000066;"{""coordinates"": [-0.369801, 39.46227399907403], ""type"": ""Point""}";46012847;CENTRE PRIV. ED. INF. 1er CICLE F. DON JUAN DE DIOS MONTAÑES;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;FUNDACIÓN DON JUAN DE DIOS MONTAÑES;PRIVADO;CL. PINTOR SALVADOR ABRIL, 25;46005;València;València;963742920;963742920;info@fundacionmontanes.org
39.47199699907395, -0.38470400000000066;"{""coordinates"": [-0.384704, 39.47199699907395], ""type"": ""Point""}";46012884;CENTRE PRIVAT FP PAX;CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA;PAX;CONCERTADO;CL. ESPINOSA, 5;46008;València;València;963913394;963919863;secretaria@institutopax.com
39.463742999074015, -0.3693459999999987;"{""coordinates"": [-0.369346, 39.463742999074015], ""type"": ""Point""}";46012938;CENTRE PRIVAT ESCUELAS PROFESIONALES DE ARTESANOS;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;ESCUELAS PROFESIONALES DE ARTESANOS;CONCERTADO;AV. REGNE DE VALENCIA, 40-42;46005;València;València;963746592;963333547;escudire@escuelasdeartesanos.com
39.452970999074076, -0.3637399999999998;"{""coordinates"": [-0.36374, 39.452970999074076], ""type"": ""Point""}";46012951;IES JORDI DE SANT JORDI;INSTITUT D'EDUCACIÓ SECUNDÀRIA;JORDI DE SANT JORDI;PÚBLICO;CL. ALCALDE GISBERT RICO, 24;46013;València;València;961206180;961206181;46012951@edu.gva.es
39.474911999073946, -0.34095200000000103;"{""coordinates"": [-0.340952, 39.474911999073946], ""type"": ""Point""}";46013050;IES EL CABANYAL;INSTITUT D'EDUCACIÓ SECUNDÀRIA;EL CABANYAL;PÚBLICO;CM. DEL CABANYAL, 19;46022;València;València;961206055;961206056;46013050@edu.gva.es
39.48310399907389, -0.369941;"{""coordinates"": [-0.369941, 39.48310399907389], ""type"": ""Point""}";46013062;IES BENLLIURE;INSTITUT D'EDUCACIÓ SECUNDÀRIA;BENLLIURE;PÚBLICO;CL. CONVENT DE CARMELITES, 13;46010;València;València;961206135;961206136;46013062@edu.gva.es
39.46517199907402, -0.33250799999999975;"{""coordinates"": [-0.332508, 39.46517199907402], ""type"": ""Point""}";46013074;CENTRE PRIVAT HOGAR NUESTRA SEÑORA DEL ROSARIO;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;HOGAR NUESTRA SEÑORA DEL ROSARIO;CONCERTADO;CL. VICENTE BRULL, 54;46011;València;València;963672182;963240776;colegio@hogarrosario.com
39.47470499907394, -0.3827890000000009;"{""coordinates"": [-0.382789, 39.47470499907394], ""type"": ""Point""}";46013232;ESCOLA D'ART I SUPERIOR DE DISSENY DE VALENCIA;ESCOLA D'ART I SUPERIOR DE DISSENY;;PÚBLICO;CL. PINTOR DOMINGO, 20;46001;València;València;963156700;963156701;46013232@iseacv.gva.es
39.44519699907414, -0.3890109999999988;"{""coordinates"": [-0.389011, 39.44519699907414], ""type"": ""Point""}";46013441;CEIP FAUSTO MARTÍNEZ;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;FAUSTO MARTÍNEZ;PÚBLICO;PZ. PINTOR SALVADOR SORIA, 8;46017;València;València;962566640;962566641;46013441@edu.gva.es
39.464884999074, -0.3958780000000004;"{""coordinates"": [-0.395878, 39.464884999074], ""type"": ""Point""}";46013475;CEIP 8 DE MARÇ;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;8 DE MARÇ;PÚBLICO;CL. MARÍA ZAMBRANO, 1;46018;València;València;962566240;962566241;46013475@edu.gva.es
39.47030799907398, -0.39600700000000044;"{""coordinates"": [-0.396007, 39.47030799907398], ""type"": ""Point""}";46013499;CEIP DOCTOR BARCIA GOYANES;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;DOCTOR BARCIA GOYANES;PÚBLICO;CL. OLIMPIA  AROZENA TORRES, 23;46018;València;València;962566230;962566231;46013499@edu.gva.es
39.47246899907396, -0.3610250000000002;"{""coordinates"": [-0.361025, 39.47246899907396], ""type"": ""Point""}";46013621;CENTRE PRIV. ED. INF. 1er CICLE BAMBY-ABADE;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;BAMBY-ABADE;PRIVADO;CL. GENERAL GIL DOLZ, 12;46010;València;València;963629466;0;info@bambyabade.es
39.47393099907395, -0.3981830000000013;"{""coordinates"": [-0.398183, 39.47393099907395], ""type"": ""Point""}";46014868;CEIP 9 D'OCTUBRE;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;9 D'OCTUBRE;PÚBLICO;CL. DEMOCRÀCIA, 32;46018;València;València;962566800;962566801;46014868@edu.gva.es
39.42211599907428, -0.33534100000000033;"{""coordinates"": [-0.335341, 39.42211599907428], ""type"": ""Point""}";46015058;CEIP PINEDO;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;PINEDO;PÚBLICO;TR. DE PINEDO AL MAR, 75;46012;València;València;962566450;962566451;46015058@edu.gva.es
39.48684799907388, -0.3751280000000001;"{""coordinates"": [-0.375128, 39.48684799907388], ""type"": ""Point""}";46015344;CENTRE PRIV. ED. INFANTIL EL TREN;CENTRE PRIVAT D'EDUCACIÓ INFANTIL;EL TREN;PRIVADO;CL. SAGUNTO, 105;46009;València;València;963473375;963473375;escuelainfantileltren@hotmail.es
39.38221999907452, -0.33083700000000016;"{""coordinates"": [-0.330837, 39.38221999907452], ""type"": ""Point""}";46015691;CEIP LLUÍS DE SANTÀNGEL;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;LLUÍS DE SANTÀNGEL;PÚBLICO;AV. ELS PINARS, S/N;46012;València;València;962566420;962566421;46015691@edu.gva.es
39.45967199907404, -0.3442559999999998;"{""coordinates"": [-0.344256, 39.45967199907404], ""type"": ""Point""}";46015708;IES DISTRICTE MARÍTIM;INSTITUT D'EDUCACIÓ SECUNDÀRIA;DISTRICTE MARÍTIM;PÚBLICO;AV. BALEARES, 62;46023;València;València;961206200;961206201;46015708@edu.gva.es
39.453496999074076, -0.38502000000000014;"{""coordinates"": [-0.38502, 39.453496999074076], ""type"": ""Point""}";46015851;CENTRE PRIVAT CONCHA ESPINA II;CENTRE PRIVAT D'EDUCACIÓ PRIMÀRIA I SECUNDÀRIA;CONCHA ESPINA II;CONCERTADO;CL. MARQUÉS DE BELLET, 5-7;46007;València;València;963571411;963579042;secretaria@conchaespina.com
39.449327999074114, -0.3934040000000004;"{""coordinates"": [-0.393404, 39.449327999074114], ""type"": ""Point""}";46015873;CEIP TOMÁS DE VILLARROYA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;TOMÁS DE VILLARROYA;PÚBLICO;AV. DOCTOR TOMÁS SALA, S/N;46017;València;València;962566100;962566101;46015873@edu.gva.es
39.453286999074095, -0.3761850000000002;"{""coordinates"": [-0.376185, 39.453286999074095], ""type"": ""Point""}";46016105;CEIP FERNANDO DE LOS RIOS;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;FERNANDO DE LOS RIOS;CONCERTADO;CL. INGENIERO JOAQUIN BENLLOCH, 33-35;46006;València;València;963333362;963347770;cmfernandorios@valencia.es
39.47915999907392, -0.39276099999999925;"{""coordinates"": [-0.392761, 39.47915999907392], ""type"": ""Point""}";46016658;CENTRE PRIVAT VILAVELLA;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;VILAVELLA;CONCERTADO;CL. PADRE DIEGO MIRÓN, 1;46009;València;València;963479750;963477040;vlvl_rfernandez@fomento.edu
39.45408699907408, -0.37735300000000027;"{""coordinates"": [-0.377353, 39.45408699907408], ""type"": ""Point""}";46016762;CENTRE PRIVAT MARTÍ SOROLLA II;CENTRE PRIVAT D'EDUCACIÓ SECUNDÀRIA;MARTÍ SOROLLA II;CONCERTADO;CL. PIANISTA AMPARO ITURBI, 64;46006;València;València;963748161;963342559;ftortosa@gruposorolla.es
39.47548999907394, -0.38941100000000034;"{""coordinates"": [-0.389411, 39.47548999907394], ""type"": ""Point""}";46016841;CENTRE ENS. ARTIST. PROFESSIONALS  BARREIRA ARTE Y DISEÑO;CENTRE AUT. D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS D'ARTS PLÀSTIQUES I DISSEN;BARREIRA ARTE Y DISEÑO;PRIVADO;CL. SAN JACINTO, 1;46008;València;València;961130354;961130359;barreira@barreira.edu.es
39.472207999073966, -0.35874300000000003;"{""coordinates"": [-0.358743, 39.472207999073966], ""type"": ""Point""}";46016971;CENTRE ENS. PROFESSIONALS DE DANSA MARI CRUZ ALCALÁ;CENTRE AUTORITZAT D'ENSENYANCES ARTÍSTIQUES PROFESSIONALS DE DANSA;MARI CRUZ ALCALÁ;PRIVADO;CL. ALGINET, 8-10;46010;València;València;963622779;963622779;info@maricruzalcala.com
39.48766699907386, -0.3633859999999999;"{""coordinates"": [-0.363386, 39.48766699907386], ""type"": ""Point""}";46017225;CEIP CARLES SALVADOR;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;CARLES SALVADOR;PÚBLICO;CL. POETA ALTET, 19;46020;València;València;962564870;962564871;46017225@edu.gva.es
39.488636999073854, -0.3838270000000006;"{""coordinates"": [-0.383827, 39.488636999073854], ""type"": ""Point""}";46017304;CENTRE PRIVAT JUAN COMENIUS;CENTRE PRIVAT D'EDUCACIÓ INFANTIL, PRIMÀRIA I SECUNDÀRIA;JUAN COMENIUS;CONCERTADO;CL. MÚSICO JARQUE CUALLADÓ, 9;46009;València;València;963467057;963400552;juancomenius@comenius.es
39.45099999907409, -0.3752000000000005;"{""coordinates"": [-0.3752, 39.45099999907409], ""type"": ""Point""}";46017468;CEIP PABLO NERUDA;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;PABLO NERUDA;PÚBLICO;CL. INGENIERO JOAQUIN BENLLOCH, 36;46026;València;València;961207350;961207351;46017468@edu.gva.es
39.47636999907394, -0.3462839999999999;"{""coordinates"": [-0.346284, 39.47636999907394], ""type"": ""Point""}";46017687;IES RAMON LLULL;INSTITUT D'EDUCACIÓ SECUNDÀRIA;RAMON LLULL;PÚBLICO;CL. RAMON LLULL, 12;46021;València;València;961205960;961205961;46017687@edu.gva.es
39.49237599907383, -0.37821300000000035;"{""coordinates"": [-0.378213, 39.49237599907383], ""type"": ""Point""}";46018114;CEIP PROFESOR SANCHIS GUARNER;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;PROFESOR SANCHIS GUARNER;PÚBLICO;CL. PEDRO PATRICIO MEY, 44;46019;València;València;962566080;0;46018114@edu.gva.es
39.49426099907384, -0.39861899999999933;"{""coordinates"": [-0.398619, 39.49426099907384], ""type"": ""Point""}";46018345;CEIP LLUÍS GUARNER;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;LLUÍS GUARNER;PÚBLICO;CL. DOCTOR NICASIO BENLLOCH, 128;46015;València;València;962566050;962566051;46018345@edu.gva.es
39.45911499907404, -0.3411560000000006;"{""coordinates"": [-0.341156, 39.45911499907404], ""type"": ""Point""}";46018552;IES BALEARES;INSTITUT D'EDUCACIÓ SECUNDÀRIA;BALEARES;PÚBLICO;AV. BALEARES, 66;46023;València;València;961206230;961206231;46018552@edu.gva.es
39.466066999073995, -0.36862700000000026;"{""coordinates"": [-0.368627, 39.466066999073995], ""type"": ""Point""}";46018576;CENTRE ELEMENTAL DE MÚSICA AURORA I;CENTRE AUTORITZAT ELEMENTAL DE MÚSICA;AURORA I;PRIVADO;CL. ALMIRANTE CADARSO, 9;46005;València;València;963959169;963959169;secretaria@escuelademusicaaurora.com
39.44828199907411, -0.33339900000000067;"{""coordinates"": [-0.333399, 39.44828199907411], ""type"": ""Point""}";46019431;CENTRE PÚBLIC FPA ESCUELA POPULAR NAZARET;CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES;ESCUELA POPULAR NAZARET;PÚBLICO;CL. DEL PARQUE, 94;46024;València;València;961206795;961206796;46019431@edu.gva.es
39.473114999073964, -0.33753500000000086;"{""coordinates"": [-0.337535, 39.473114999073964], ""type"": ""Point""}";46019441;CENTRE PÚBLIC FPA L'ALGUER;CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES;L'ALGUER;PÚBLICO;CL. JOSÉ MARÍA HARO, 63;46022;València;València;961206890;961206891;46019441@edu.gva.es
39.44651699907412, -0.3913989999999994;"{""coordinates"": [-0.391399, 39.44651699907412], ""type"": ""Point""}";46019465;CENTRE PÚBLIC FPA SANT MARCEL·LÍ;CENTRE PÚBLIC DE FORMACIÓ DE PERSONES ADULTES;SANT MARCEL·LÍ;PÚBLICO;CL. INGENIERO JOSÉ SIRERA, 20;46017;València;València;961206785;961206786;46019465@edu.gva.es
39.46653899907399, -0.3419170000000015;"{""coordinates"": [-0.341917, 39.46653899907399], ""type"": ""Point""}";46020236;EI 1er CICLE CENTRO SOCIAL EL GRAO;ESCOLA INFANTIL DE PRIMER CICLE;CENTRO SOCIAL EL GRAO;PÚBLICO;CL. VICTOR MOYA, S/N;46022;València;València;961205860;961205861;46020236@edu.gva.es
39.46775599907399, -0.34674499999999986;"{""coordinates"": [-0.346745, 39.46775599907399], ""type"": ""Point""}";46020340;CEIP MIQUEL ADLERT I NOGUEROL;COL·LEGI D'EDUCACIÓ INFANTIL I PRIMÀRIA;MIQUEL ADLERT I NOGUEROL;PÚBLICO;CL. PEPE ALBA, 21;46022;València;València;962566290;962566291;46020340@edu.gva.es
39.50583699907375, -0.3670500000000011;"{""coordinates"": [-0.36705, 39.50583699907375], ""type"": ""Point""}";46020662;ESCOLA PRIVADA DE MÚSICA AGRUPACIÓN ARTÍSTICO MUSICAL;ESCOLA PRIVADA DE MÚSICA;AGRUPACIÓN ARTÍSTICO MUSICAL;PRIVADO;CL. MARIANO BENLLIURE, 1;46016;Tavernes Blanques;València;961855033;0;aamtblanques@gmail.com
39.485279999073875, -0.36045699999999975;"{""coordinates"": [-0.360457, 39.485279999073875], ""type"": ""Point""}";46021605;ESCOLA PRIVADA DE MÚSICA HIPOLITO MARTINEZ;ESCOLA PRIVADA DE MÚSICA;HIPÓLITO MARTÍNEZ;PRIVADO;CL. BARÓN DE SAN PETRILLO, 14;46020;València;València;963691703;963691879;cimbenimaclet@gmail.com
39.474928999073946, -0.38277300000000003;"{""coordinates"": [-0.382773, 39.474928999073946], ""type"": ""Point""}";46021691;CONSERVATORI PROFESSIONAL DE MÚSICA NÚMERO 2;CONSERVATORI PROFESSIONAL DE MÚSICA;NÚMERO 2;PÚBLICO;PZ. VIRIATO, S/N;46001;València;València;961207000;961207001;46021691@edu.gva.es
39.44803899907413, -0.36852300000000066;"{""coordinates"": [-0.368523, 39.44803899907413], ""type"": ""Point""}";46021711;CIPFP AUSIÀS MARCH;CENTRE INTEGRAT PÚBLIC DE FORMACIÓ PROFESSIONAL;AUSIÀS MARCH;PÚBLICO;CL. ÁNGEL DE VILLENA, S/N;46013;València;València;961205930;961205931;46021711@edu.gva.es
39.47394099907395, -0.3518390000000007;"{""coordinates"": [-0.351839, 39.47394099907395], ""type"": ""Point""}";46021988;CENTRE PRIV. ED. INF. 1er CICLE DÁLMATAS;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;DÁLMATAS;PRIVADO;CL. PEDRO JUAN NUÑEZ, 3;46021;València;València;963698330;0;einfantildalmatas@yahoo.es
39.47188099907396, -0.39022600000000096;"{""coordinates"": [-0.390226, 39.47188099907396], ""type"": ""Point""}";46022439;CENTRE PRIV. ED. INFANTIL CHIQUILÍN;CENTRE PRIVAT D'EDUCACIÓ INFANTIL;CHIQUILÍN;PRIVADO;CL. JUAN LLORENS, 26;46008;València;València;963850781;963842618;info@eichiquilin.com
39.46982399907397, -0.3902699999999993;"{""coordinates"": [-0.39027, 39.46982399907397], ""type"": ""Point""}";46022828;CENTRE PRIV. ED. INF. 1er CICLE DUMBO;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;DUMBO;PRIVADO;CL. PINTOR VILA PRADES, 9;46008;València;València;963842424;0;dumbo@educacioninfantildumbo.es
39.462015999074026, -0.38090599999999997;"{""coordinates"": [-0.380906, 39.462015999074026], ""type"": ""Point""}";46023055;CENTRE PRIVAT FP I. INTER;CENTRE PRIVAT FORMACIÓ PROFESSIONAL ESPECÍFICA;INSTITUTO INTER;PRIVADO;CL. DOCTOR GIL Y MORTE, 17;46007;València;València;963519365;963411452;director@institutointer.com
39.49230099907385, -0.3768610000000006;"{""coordinates"": [-0.376861, 39.49230099907385], ""type"": ""Point""}";46023365;CENTRE PRIV. ED. INF. 1er CICLE PIPO;CENTRE PRIVAT D'EDUCACIÓ INFANTIL DE PRIMER CICLE;PIPO;PRIVADO;CL. FELIPE RINALDI, 15;46019;València;València;963651687;963651687;info@escuelainfantilpipo.es
39.45529399907405, -0.4030390000000017;"{""coordinates"": [-0.403039, 39.45529399907405], ""type"": ""Point""}";46023389;CENTRE PRIV. ED. INFANTIL EL NIU DE SANT ISIDRE;CENTRE PRIVAT D'EDUCACIÓ INFANTIL;EL NIU DE SANT ISIDRE;PRIVADO;CL. PROFESOR ÁNGEL LACALLE, 16;46014;València;València;963572062;963572062;escuela@elniu.es
